mode: set
instagram-lite/cli/utility.go:24.91,25.23 1 1
instagram-lite/cli/utility.go:29.2,32.28 3 1
instagram-lite/cli/utility.go:36.2,36.34 1 1
instagram-lite/cli/utility.go:40.2,40.35 1 1
instagram-lite/cli/utility.go:53.2,54.55 2 1
instagram-lite/cli/utility.go:25.23,27.3 1 1
instagram-lite/cli/utility.go:32.28,34.3 1 1
instagram-lite/cli/utility.go:36.34,38.3 1 1
instagram-lite/cli/utility.go:40.35,41.15 1 1
instagram-lite/cli/utility.go:41.15,44.12 3 1
instagram-lite/cli/utility.go:49.4,49.54 1 1
instagram-lite/cli/utility.go:44.12,47.13 3 1
instagram-lite/cli/utility.go:57.76,58.21 1 1
instagram-lite/cli/utility.go:62.2,62.78 1 1
instagram-lite/cli/utility.go:66.2,66.39 1 1
instagram-lite/cli/utility.go:70.2,70.41 1 1
instagram-lite/cli/utility.go:74.2,74.36 1 1
instagram-lite/cli/utility.go:58.21,60.3 1 1
instagram-lite/cli/utility.go:62.78,64.3 1 1
instagram-lite/cli/utility.go:66.39,68.3 1 1
instagram-lite/cli/utility.go:70.41,72.3 1 1
instagram-lite/cli/utility.go:77.52,79.22 2 1
instagram-lite/cli/utility.go:83.2,85.10 3 1
instagram-lite/cli/utility.go:89.2,92.31 4 1
instagram-lite/cli/utility.go:122.2,122.20 1 1
instagram-lite/cli/utility.go:79.22,81.3 1 1
instagram-lite/cli/utility.go:85.10,87.3 1 1
instagram-lite/cli/utility.go:92.31,93.36 1 1
instagram-lite/cli/utility.go:102.3,102.34 1 1
instagram-lite/cli/utility.go:93.36,94.40 1 1
instagram-lite/cli/utility.go:98.4,99.12 2 1
instagram-lite/cli/utility.go:94.40,96.13 2 1
instagram-lite/cli/utility.go:102.34,103.90 1 1
instagram-lite/cli/utility.go:108.4,108.47 1 1
instagram-lite/cli/utility.go:113.4,113.47 1 1
instagram-lite/cli/utility.go:118.4,119.12 2 1
instagram-lite/cli/utility.go:103.90,105.13 2 1
instagram-lite/cli/utility.go:108.47,110.13 2 1
instagram-lite/cli/utility.go:113.47,115.13 2 1
instagram-lite/cli/utility.go:125.30,128.34 3 1
instagram-lite/cli/utility.go:137.2,137.15 1 1
instagram-lite/cli/utility.go:128.34,129.14 1 1
instagram-lite/cli/utility.go:133.3,133.48 1 1
instagram-lite/cli/utility.go:129.14,130.9 1 1
instagram-lite/cli/utility.go:133.48,135.4 1 1
instagram-lite/cli/utility.go:140.74,143.57 3 1
instagram-lite/cli/utility.go:147.2,147.32 1 1
instagram-lite/cli/utility.go:157.2,157.36 1 1
instagram-lite/cli/utility.go:143.57,145.3 1 1
instagram-lite/cli/utility.go:147.32,148.17 1 1
instagram-lite/cli/utility.go:148.17,151.12 3 1
instagram-lite/cli/utility.go:154.4,154.54 1 1
instagram-lite/cli/utility.go:151.12,153.5 1 1
instagram-lite/cli/utility.go:160.74,163.59 3 1
instagram-lite/cli/utility.go:167.2,167.32 1 1
instagram-lite/cli/utility.go:178.2,179.22 2 1
instagram-lite/cli/utility.go:163.59,165.3 1 1
instagram-lite/cli/utility.go:167.32,168.15 1 1
instagram-lite/cli/utility.go:168.15,171.12 3 1
instagram-lite/cli/utility.go:174.4,174.54 1 1
instagram-lite/cli/utility.go:171.12,173.5 1 1
instagram-lite/cli/utility.go:182.31,184.2 1 1
instagram-lite/app/activity.go:9.73,15.2 1 1
instagram-lite/app/activity.go:17.56,19.2 1 1
instagram-lite/app/activity.go:21.41,23.2 1 1
instagram-lite/app/activity.go:25.40,27.2 1 1
instagram-lite/app/activity.go:29.41,31.2 1 1
instagram-lite/app/registry.go:16.36,20.2 1 1
instagram-lite/app/registry.go:22.65,23.43 1 1
instagram-lite/app/registry.go:26.2,27.28 2 1
instagram-lite/app/registry.go:23.43,25.3 1 1
instagram-lite/app/registry.go:30.65,31.43 1 1
instagram-lite/app/registry.go:36.2,36.18 1 1
instagram-lite/app/registry.go:31.43,32.33 1 1
instagram-lite/app/registry.go:32.33,34.4 1 1
instagram-lite/app/registry.go:39.52,41.50 2 1
instagram-lite/app/registry.go:44.2,44.20 1 1
instagram-lite/app/registry.go:41.50,43.3 1 1
instagram-lite/app/setup.go:31.49,42.2 1 1
instagram-lite/app/setup.go:44.72,45.26 1 1
instagram-lite/app/setup.go:49.2,49.22 1 1
instagram-lite/app/setup.go:53.2,56.47 3 1
instagram-lite/app/setup.go:45.26,47.3 1 1
instagram-lite/app/setup.go:49.22,51.3 1 1
instagram-lite/app/setup.go:59.47,60.21 1 1
instagram-lite/app/setup.go:64.2,69.24 5 1
instagram-lite/app/setup.go:60.21,62.3 1 1
instagram-lite/app/setup.go:72.72,73.30 1 1
instagram-lite/app/setup.go:107.2,108.38 2 1
instagram-lite/app/setup.go:74.12,75.26 1 1
instagram-lite/app/setup.go:79.3,81.35 2 1
instagram-lite/app/setup.go:85.3,86.31 2 1
instagram-lite/app/setup.go:87.13,88.24 1 1
instagram-lite/app/setup.go:92.3,92.28 1 1
instagram-lite/app/setup.go:96.3,98.35 2 1
instagram-lite/app/setup.go:102.3,104.31 3 1
instagram-lite/app/setup.go:75.26,77.4 1 1
instagram-lite/app/setup.go:81.35,83.4 1 1
instagram-lite/app/setup.go:88.24,90.4 1 1
instagram-lite/app/setup.go:92.28,94.4 1 1
instagram-lite/app/setup.go:98.35,100.4 1 1
instagram-lite/app/setup.go:111.52,113.2 1 1
instagram-lite/app/setup.go:115.48,116.43 1 1
instagram-lite/app/setup.go:121.2,121.14 1 1
instagram-lite/app/setup.go:116.43,117.19 1 1
instagram-lite/app/setup.go:117.19,119.4 1 1
instagram-lite/app/setup.go:124.41,126.2 1 1
instagram-lite/app/setup.go:128.70,129.33 1 1
instagram-lite/app/setup.go:134.2,134.14 1 1
instagram-lite/app/setup.go:129.33,130.33 1 1
instagram-lite/app/setup.go:130.33,132.4 1 1
instagram-lite/app/setup.go:137.45,139.2 1 1
instagram-lite/app/setup.go:141.40,143.2 1 1
instagram-lite/app/setup.go:145.44,147.2 1 1
instagram-lite/app/setup.go:149.58,150.37 1 1
instagram-lite/app/setup.go:150.37,153.3 2 1
instagram-lite/app/setup.go:156.56,157.37 1 1
instagram-lite/app/setup.go:157.37,158.29 1 1
instagram-lite/app/setup.go:165.3,165.63 1 1
instagram-lite/app/setup.go:169.3,169.46 1 1
instagram-lite/app/setup.go:158.29,159.29 1 1
instagram-lite/app/setup.go:159.29,161.13 2 1
instagram-lite/app/setup.go:165.63,166.12 1 1
instagram-lite/app/setup.go:173.55,175.2 1 1
